index,name,type,input_shape,output_shape,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,in_features,out_features,num_features,weight_shape,bias_shape,prelu_weight_shape,running_mean_shape,running_var_shape,param_numel,buffer_numel,macs,output_elements,weight_bit,activation_bit,x_min,x_max,full_precision,running_stat,note
21,conv_3.model.0.0.project.bn,BatchNorm2d,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,50176,,,,,,,
22,conv_3.model.0.1,QuantAct,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,,,,,,,0,4,,50176,,8,-3.117239475250244,4.086012840270996,False,False,residual_add_output_quant
23,conv_3.model.1.0.conv.conv,Quant_Conv2d,"[1, 64, 28, 28]","[1, 128, 28, 28]",64,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 64, 1, 1]",,,,,8192,0,6422528,100352,8,,,,False,,
24,conv_3.model.1.0.conv.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
25,conv_3.model.1.0.conv.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.32354769110679626,1.2947860956192017,False,True,prelu_then_activation_quant
26,conv_3.model.1.0.conv_dw.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",128,128,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",128,,,,"[128, 1, 3, 3]",,,,,1152,0,903168,100352,8,,,,False,,
27,conv_3.model.1.0.conv_dw.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
28,conv_3.model.1.0.conv_dw.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.9270885586738586,3.636932849884033,False,True,prelu_then_activation_quant
29,conv_3.model.1.0.project.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 64, 28, 28]",128,64,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[64, 128, 1, 1]",,,,,8192,0,6422528,50176,8,,,,False,,
30,conv_3.model.1.0.project.bn,BatchNorm2d,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,50176,,,,,,,
31,conv_3.model.1.1,QuantAct,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,,,,,,,0,4,,50176,,8,-3.387274742126465,3.622286796569824,False,False,residual_add_output_quant
32,conv_3.model.2.0.conv.conv,Quant_Conv2d,"[1, 64, 28, 28]","[1, 128, 28, 28]",64,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 64, 1, 1]",,,,,8192,0,6422528,100352,8,,,,False,,
33,conv_3.model.2.0.conv.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
34,conv_3.model.2.0.conv.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.29019972681999207,1.4713294506072998,False,True,prelu_then_activation_quant
35,conv_3.model.2.0.conv_dw.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",128,128,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",128,,,,"[128, 1, 3, 3]",,,,,1152,0,903168,100352,8,,,,False,,
36,conv_3.model.2.0.conv_dw.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
37,conv_3.model.2.0.conv_dw.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.3107304573059082,3.5743298530578613,False,True,prelu_then_activation_quant
38,conv_3.model.2.0.project.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 64, 28, 28]",128,64,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[64, 128, 1, 1]",,,,,8192,0,6422528,50176,8,,,,False,,
39,conv_3.model.2.0.project.bn,BatchNorm2d,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,50176,,,,,,,
40,conv_3.model.2.1,QuantAct,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,,,,,,,0,4,,50176,,8,-5.423863887786865,6.589082717895508,False,False,residual_add_output_quant
41,conv_3.model.3.0.conv.conv,Quant_Conv2d,"[1, 64, 28, 28]","[1, 128, 28, 28]",64,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 64, 1, 1]",,,,,8192,0,6422528,100352,8,,,,False,,
42,conv_3.model.3.0.conv.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
43,conv_3.model.3.0.conv.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.3645729720592499,1.991772174835205,False,True,prelu_then_activation_quant
44,conv_3.model.3.0.conv_dw.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",128,128,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",128,,,,"[128, 1, 3, 3]",,,,,1152,0,903168,100352,8,,,,False,,
45,conv_3.model.3.0.conv_dw.bn,BatchNorm2d,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,100352,,,,,,,
46,conv_3.model.3.0.conv_dw.prelu,QuantActPreLu,"[1, 128, 28, 28]","[1, 128, 28, 28]",,,,,,,,,,,,,[128],,,128,0,,100352,,8,-0.6354346871376038,3.720135450363159,False,True,prelu_then_activation_quant
47,conv_3.model.3.0.project.conv,Quant_Conv2d,"[1, 128, 28, 28]","[1, 64, 28, 28]",128,64,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[64, 128, 1, 1]",,,,,8192,0,6422528,50176,8,,,,False,,
48,conv_3.model.3.0.project.bn,BatchNorm2d,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,64,[64],[64],,[64],[64],128,129,,50176,,,,,,,
49,conv_3.model.3.1,QuantAct,"[1, 64, 28, 28]","[1, 64, 28, 28]",,,,,,,,,,,,,,,,0,4,,50176,,8,-8.75257682800293,7.589846611022949,False,False,residual_add_output_quant
50,conv_34.conv.conv,Quant_Conv2d,"[1, 64, 28, 28]","[1, 256, 28, 28]",64,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 64, 1, 1]",,,,,16384,0,12845056,200704,8,,,,False,,
51,conv_34.conv.bn,BatchNorm2d,"[1, 256, 28, 28]","[1, 256, 28, 28]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,200704,,,,,,,
52,conv_34.conv.prelu,QuantActPreLu,"[1, 256, 28, 28]","[1, 256, 28, 28]",,,,,,,,,,,,,[256],,,256,0,,200704,,8,-0.28298792243003845,1.499998688697815,False,True,prelu_then_activation_quant
53,conv_34.conv_dw.conv,Quant_Conv2d,"[1, 256, 28, 28]","[1, 256, 14, 14]",256,256,"[3, 3]","[2, 2]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
54,conv_34.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
55,conv_34.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-1.6584945917129517,2.974113941192627,False,True,prelu_then_activation_quant
56,conv_34.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
57,conv_34.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
58,conv_4.model.0.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
59,conv_4.model.0.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
